Tanggal,Pintu Masuk,Jumlah Kunjungan
2019-01-01,Bandara Int. Lombok,2126.0
2019-01-01,Pintu Udara Lainnya,1972.0
2019-01-01,Ngurah Rai,451708.0
2019-01-01,Sultan Syarif Kasim II,2450.0
2019-01-01,Sultan Iskandar Muda,1676.0
2019-01-01,Ahmad Yani,2165.0
2019-01-01,Supadio,1598.0
2019-01-01,Hasanuddin,951.0
2019-01-01,Sultan Badaruddin II,1038.0
2019-01-01,Sam Ratulangi,10905.0
2019-01-01,Minangkabau,4528.0
2019-01-01,C. Pintu Darat,190552.0
2019-01-01,Entikong,1563.0
2019-01-01,A. Pintu Udara,706704.0
2019-01-01,Tanjung Pinang,9268.0
2019-01-01,Tanjung Balai Karimun,8572.0
2019-01-01,Tanjung Benoa,3862.0
2019-01-01,Tanjung Mas,1646.0
2019-01-01,Pintu Laut Lainnya,106115.0
2019-01-01,Jayapura,4418.0
2019-01-01,Batam,134415.0
2019-01-01,Atambua,7835.0
2019-01-01,Aruk,804.0
2019-01-01,Nanga Badau,1187.0
2019-01-01,Pintu Darat Lainnya,174745.0
2019-01-01,Jumlah (A+B+C),1201735.0
2019-01-01,Lainnya,
2019-01-01,Total,1201735.0
2019-01-01,Tanjung Uban,40601.0
2019-02-01,B. Pintu Laut,340751.0
2019-02-01,Ngurah Rai,436266.0
2019-02-01,Soekarno-Hatta,196183.0
2019-02-01,Juanda,17389.0
2019-02-01,Kualanamu,21815.0
2019-02-01,Husein Sastranegara,15127.0
2019-02-01,Adi Sucipto,9604.0
2019-02-01,Sultan Syarif Kasim II,2989.0
2019-02-01,A. Pintu Udara,731517.0
2019-02-01,Minangkabau,5144.0
2019-02-01,Sultan Iskandar Muda,1739.0
2019-02-01,Ahmad Yani,2033.0
2019-02-01,Supadio,2639.0
2019-02-01,Hasanuddin,1379.0
2019-02-01,Pintu Udara Lainnya,2742.0
2019-02-01,Bandara Int. Lombok,3590.0
2019-02-01,Sultan Badaruddin II,1573.0
2019-02-01,Sam Ratulangi,11305.0
2019-02-01,Atambua,5973.0
2019-02-01,Batam,159248.0
2019-02-01,Tanjung Uban,49394.0
2019-02-01,Tanjung Pinang,13141.0
2019-02-01,Tanjung Balai Karimun,11411.0
2019-02-01,Tanjung Benoa,1190.0
2019-02-01,Pintu Laut Lainnya,104039.0
2019-02-01,C. Pintu Darat,171728.0
2019-02-01,Tanjung Mas,2328.0
2019-02-01,Nanga Badau,1128.0
2019-02-01,Entikong,2158.0
2019-02-01,Aruk,1989.0
2019-02-01,Pintu Darat Lainnya,156591.0
2019-02-01,Jumlah (A+B+C),1243996.0
2019-02-01,Lainnya,
2019-02-01,Total,1243996.0
2019-02-01,Jayapura,3889.0
2019-03-01,Adi Sucipto,10550.0
2019-03-01,Ngurah Rai,441707.0
2019-03-01,Soekarno-Hatta,214161.0
2019-03-01,Juanda,20497.0
2019-03-01,Kualanamu,21129.0
2019-03-01,Husein Sastranegara,16342.0
2019-03-01,A. Pintu Udara,758821.0
2019-03-01,Sultan Badaruddin II,1419.0
2019-03-01,Minangkabau,6196.0
2019-03-01,Sultan Syarif Kasim II,3071.0
2019-03-01,Sultan Iskandar Muda,2134.0
2019-03-01,Ahmad Yani,2296.0
2019-03-01,Supadio,2316.0
2019-03-01,Hasanuddin,1825.0
2019-03-01,Sam Ratulangi,10761.0
2019-03-01,Pintu Udara Lainnya,849.0
2019-03-01,C. Pintu Darat,174392.0
2019-03-01,Bandara Int. Lombok,3568.0
2019-03-01,Atambua,6741.0
2019-03-01,Tanjung Pinang,15813.0
2019-03-01,Tanjung Balai Karimun,10859.0
2019-03-01,Tanjung Benoa,7862.0
2019-03-01,Tanjung Mas,4999.0
2019-03-01,Pintu Laut Lainnya,105548.0
2019-03-01,Jayapura,3871.0
2019-03-01,Nanga Badau,1185.0
2019-03-01,Tanjung Uban,61156.0
2019-03-01,B. Pintu Laut,378698.0
2019-03-01,Aruk,2171.0
2019-03-01,Batam,172461.0
2019-03-01,Pintu Darat Lainnya,158058.0
2019-03-01,Jumlah (A+B+C),1311911.0
2019-03-01,Lainnya,
2019-03-01,Total,1311911.0
2019-03-01,Entikong,2366.0
